0 index;0 0 0;index;
2024 Canvas wraps;3 0 0;damage:storm:2;
2025 Adventurer's boots;3 0 0;damage:myth:2;
2026 Fairy shoes;3 0 0;damage:life:2;
2027 Martyr's wraps;3 0 0;damage:death:2;
2028 Twice stitched boots;3 0 0;damage:balance:2;
2029 Roughspun shoes;3 0 0;health:3;
2030 Soldiers wraps;3 0 7;health:8;
3001 Branded wand;4 0 0;spells:101,201,301,401,501,601;
3002 Insulated wand;4 0 0;spells:1,201,301,401,501,601;
3003 Charged wand;4 0 0;spells:1,101,301,401,501,601;
3004 Antiquated wand;4 0 0;spells:1,101,201,401,501,601;
3005 Fairy's wand;4 0 0;spells:1,101,201,301,501,601;
3006 Wand of repose;4 0 0;spells:1,101,201,301,401,601;
3007 Symmetrical wand;4 0 0;spells:1,101,201,301,401,501;
3008 Wand of the novice;4 0 0;spells:1,101,201,301,401,501,601;
4001 Simple dirk;5 0 0;health:15;
4002 Dulled athame;5 0 0;health:10;mana:10;
5001 Eye of the fiery feline;6 0 0;spells:1;
5002 Frost crawler necklace;6 0 0;spells:101;
5003 Storm slitherer gem;6 0 0;spells:201;
5004 Pendant of fangs;6 0 0;spells:301;
5005 Choker of mischief;6 0 0;spells:401;
5006 Amulet of dark desires;6 0 0;spells:501;
5007 Infectious necklace;6 0 0;spells:601;
6001 Flawed opal band;7 0 0;health:10;
6002 Flawed pearl ring;7 0 0;mana:10;
6003 Simple opal ring;7 0 0;health:20;
7001 Starter deck;8 0 0;deck_size:14;max_copies:3;
